Rank,Date,Link,Title,Labels,subjectivity_label,subjectivity_text
68,22/07/2013,https://www.dailymail.co.uk/news/article-2373212/Olympics-bosses-receive-2-8million-golden-goodbyes-despite-knowing-jobs-axed-2012.html,Olympics bosses receive £2.8million in golden goodbyes despite knowing their jobs would be axed after 2012,Negative,subjective,subjective: Olympics bosses receive £2.8million in golden goodbyes despite knowing their jobs would be axed after 2012
199,22/07/2013,https://www.dailymail.co.uk/news/article-2372883/As-win-Ashes-Test-Tour-France-MPs-say-children-avoid-competitive-sports-exercise-life.html,"As we win the Ashes Test and Tour de France, MPs say children should avoid competitive sports because it can put them off exercise for life",Negative,objective,"objective: As we win the Ashes Test and Tour de France, MPs say children should avoid competitive sports because it can put them off exercise for life"
12,26/07/2013,https://www.dailymail.co.uk/debate/article-2379391/They-proud-But-Im-afraid-Olympic-legacy-bitter-disappointment.html,They made us so proud. But I'm afraid the Olympic legacy is bitter disappointment,Negative,objective,objective: They made us so proud. But I'm afraid the Olympic legacy is bitter disappointment
30,28/07/2013,https://www.dailymail.co.uk/sport/othersports/article-2380488/Dont-hit-panic-button-Olympic-legacy--winning--Laura-Williamson.html,Don't hit the panic button over the Olympic legacy... we're still winning - Laura Williamson,Neutral,objective,objective: Don't hit the panic button over the Olympic legacy. we're still winning - Laura Williamson
4,30/07/2013,https://www.dailymail.co.uk/travel/article-2380909/A-cool-Olympic-legacy-Giant-indoor-ski-centre-East-London-biggest-UK.html,A cool Olympic legacy: Giant indoor ski centre in East London will be biggest in UK,Positive,objective,objective: A cool Olympic legacy: Giant indoor ski centre in East London will be biggest in UK
189,31/07/2013,https://www.dailymail.co.uk/news/article-2381723/Pupils-taught-hours-PE-week-halves-Coalition-government.html,Pupils taught two hours of PE a week 'halves under Coalition government',Negative,objective,objective: Pupils taught two hours of PE a week 'halves under Coalition government'
11,4/8/2013,https://www.dailymail.co.uk/sport/othersports/article-2384491/London-rides-crest-wave-cycling-major-focus-Olympic-legacy.html,London rides the crest of a wave as cycling becomes major focus of Olympic legacy,Positive,objective,objective: London rides the crest of a wave as cycling becomes major focus of Olympic legacy
5,25/09/2013,https://www.dailymail.co.uk/sport/othersports/article-2432292/Olympic-legacy-London-velodrome-host-World-Championships-2016.html,Olympic legacy! London velodrome to host World Championships in 2016,Positive,objective,objective: Olympic legacy! London velodrome to host World Championships in 2016
44,29/10/2013,https://www.dailymail.co.uk/travel/article-2479083/VisitEngland-hopes-Wiggins-effect-help-boost-tourism-reveals-2014-highlights.html,VisitEngland hopes 'Wiggins effect' will help boost tourism as it reveals 2014 highlights,Positive,subjective,subjective: VisitEngland hopes 'Wiggins effect' will help boost tourism as it reveals 2014 highlights
151,17/11/2013,https://www.dailymail.co.uk/sport/football/article-2508907/CHARLES-SALE-West-Ham-Leyton-Orient-condemned-squabbling-like-children-Olympic-Stadium.html,CHARLES SALE: West Ham and Leyton Orient condemned for 'squabbling like children' over Olympic Stadium,Negative,objective,objective: CHARLES SALE: West Ham and Leyton Orient condemned for 'squabbling like children' over Olympic Stadium
146,20/11/2013,https://www.dailymail.co.uk/sport/football/article-2510671/Work-Olympic-Stadium-roof-begins-West-Hams-new-home.html,Work on Olympic Stadium roof begins at West Ham's new home,Positive,objective,objective: Work on Olympic Stadium roof begins at West Ham's new home
38,26/11/2013,https://www.dailymail.co.uk/news/article-2513872/First-residents-London-2012-Athletes-Village-accommodation-turned-flats.html,First residents move into London 2012 Athletes' Village after accommodation was turned into flats,Positive,objective,objective: First residents move into London 2012 Athletes' Village after accommodation was turned into flats
273,18/01/2014,https://www.dailymail.co.uk/news/article-2541676/Failed-asylum-seekers-new-80-000-astroturf-football-pitch-detention-centre-schools-nearby-forced-sell-fields.html,"Failed asylum seekers get new £80,000 astroturf football pitch in detention centre",Negative,objective,"objective: Failed asylum seekers get new £80,000 astroturf football pitch in detention centre"
106,10/2/2014,https://www.dailymail.co.uk/sport/football/article-2555707/West-Ham-sell-Upton-Park-biggest-London-football-stadium-redevelopment.html,West Ham sell Upton Park in biggest London football stadium redevelopment,Positive,objective,objective: West Ham sell Upton Park in biggest London football stadium redevelopment
148,11/2/2014,https://www.dailymail.co.uk/sport/othersports/article-2556977/Swimming-set-appeal-against-funds-withdrawal-womens-Olympic-sports.html,Swimming set to appeal against funds withdrawal from women's Olympic sports,Negative,objective,objective: Swimming set to appeal against funds withdrawal from women's Olympic sports
190,28/02/2014,https://www.dailymail.co.uk/sport/othersports/article-2570593/Brownlee-brothers-bikes-support-Yorkshire-Festival-Cycling.html,Brownlee brothers get on their bikes in support of Yorkshire Festival of Cycling...and take a ride through the set of Emmerdale while they're at it!,Positive,objective,objective: Brownlee brothers get on their bikes in support of Yorkshire Festival of Cycling.and take a ride through the set of Emmerdale while they're at it!
85,4/4/2014,https://www.dailymail.co.uk/femail/article-2596797/Still-reeling-zip-wire-incident-Boris-Mayor-takes-backseat-Prince-Harry-pay-visit-new-Olympic-Park.html,Prince Harry and Boris Johnson enjoy a playdate at the Olympic Park,Positive,objective,objective: Prince Harry and Boris Johnson enjoy a playdate at the Olympic Park
43,4/4/2014,https://www.dailymail.co.uk/travel/article-2596772/Ever-wanted-use-diving-board-Tom-Daley-Now-Londons-Olympic-Park-officially-opens-public.html,London's Olympic Park officially opens to the public,Positive,objective,objective: London's Olympic Park officially opens to the public
259,26/07/2014,https://www.dailymail.co.uk/health/article-2706986/Britains-TOFI-kids-health-time-bomb-Thats-Thin-Outside-Fat-Inside-1m-fit-children-face-hidden-risks.html,Britain's Thin Outside but Fat Inside kids health time-bomb,Negative,subjective,subjective: Britain's Thin Outside but Fat Inside kids health time-bomb
29,6/8/2014,https://www.dailymail.co.uk/sport/olympics/article-2717909/Athens-Olympic-relay-stars-team-ten-years-inspire-generation.html,Athens Olympic relay stars team up again after ten years to inspire next generation,Positive,objective,objective: Athens Olympic relay stars team up again after ten years to inspire next generation
15,14/01/2015,https://www.dailymail.co.uk/news/article-2910553/Coalition-promises-London-2012-Olympic-Games-inspire-generation-active-coming-short-Pupils-spend-time-sport-PE-classes-did-four-years-ago.html,Sport and PE in schools have slumped since 2012 London Olympics,Negative,objective,objective: Sport and PE in schools have slumped since 2012 London Olympics
22,29/01/2015,https://www.dailymail.co.uk/sport/othersports/article-2931144/Olympic-legacy-loses-steam-Sport-England-reveal-245-000-people-swimming.html,"Olympic legacy loses steam as Sport England reveal 245,000 people give up swimming",Negative,objective,"objective: Olympic legacy loses steam as Sport England reveal 245,000 people give up swimming"
24,11/6/2015,https://www.dailymail.co.uk/sport/olympics/article-3120604/Olympic-legacy-risk-222-000-Brits-turn-backs-sport-six-months.html,"Olympic legacy at risk after 222,000 Brits turn their backs on sport in last six months",Negative,objective,"objective: Olympic legacy at risk after 222,000 Brits turn their backs on sport in last six months"
69,18/06/2015,https://www.dailymail.co.uk/sport/sportsnews/article-3130364/Nation-hope-pray-Mo-Farah-s-error-absent-minded.html,Nation must hope and pray that Mo Farah's only error is being absent-minded,Negative,subjective,subjective: Nation must hope and pray that Mo Farah's only error is being absent-minded
31,19/06/2015,https://www.dailymail.co.uk/sport/football/article-3131371/Olympic-Stadium-costs-rise-whopping-35m-West-Ham-prepare-club-pay-15m-272m-total.html,Olympic Stadium costs rise by whopping £35m as West Ham prepare to move in... but club will only pay £15m of £272m total,Negative,subjective,subjective: Olympic Stadium costs rise by whopping £35m as West Ham prepare to move in. but club will only pay £15m of £272m total
14,6/7/2015,https://www.dailymail.co.uk/news/article-3150711/Wicked-negligent-politicians-failed-use-London-2012-legacy-inspire-generation-children-sport-says-ex-Olympics-minister-Tessa-Jowell.html,Tessa Jowell says London Olympics 2012 legacy has been 'squandered',Negative,objective,objective: Tessa Jowell says London Olympics 2012 legacy has been 'squandered'
34,10/7/2015,https://www.dailymail.co.uk/sport/othersports/article-3155925/Usain-Bolt-return-Olympic-stadium-won-three-gold-medals-agreeing-compete-Anniversary-Games.html,"Usain Bolt will return to Olympic Stadium where he won three gold medals, at Anniversary Games",Positive,objective,"objective: Usain Bolt will return to Olympic Stadium where he won three gold medals, at Anniversary Games"
95,14/08/2015,https://www.dailymail.co.uk/news/article-3198832/What-stench-s-icon-national-pride-earth-two-porn-barons-protegee-Baroness-Brady-allowed-Olympic-Stadium-deal-entirely-financed-taxpayer.html,Karren Brady took over Olympic Stadium in a deal financed by the taxpayer,Neutral,objective,objective: Karren Brady took over Olympic Stadium in a deal financed by the taxpayer
132,23/08/2015,https://www.dailymail.co.uk/sport/football/article-3208194/Karren-Brady-hits-Olympic-Stadium-critics-says-West-Ham-took-house-wanted.html,Karren Brady hits back at Olympic Stadium critics and says West Ham took over the house nobody wanted,Negative,objective,objective: Karren Brady hits back at Olympic Stadium critics and says West Ham took over the house nobody wanted
88,27/08/2015,https://www.dailymail.co.uk/sport/football/article-3211751/West-Ham-s-Olympic-Stadium-means-home-heroes-doesn-t-sit-doing-50-weeks.html,"West Ham's Olympic Stadium move means we still have a home for heroes, but it doesn't sit there doing nothing for 50 weeks",Positive,subjective,"subjective: West Ham's Olympic Stadium move means we still have a home for heroes, but it doesn't sit there doing nothing for 50 weeks"
3,17/10/2015,https://www.dailymail.co.uk/news/article-3276644/So-Olympic-legacy-400-000-fewer-doing-sports-London-s-2012-Games.html,400k fewer are doing sports after London's 2012 Olympic Games,Negative,objective,objective: 400k fewer are doing sports after London's 2012 Olympic Games
25,6/11/2015,https://www.dailymail.co.uk/sport/rugbyleague/article-3307091/Tom-Burgess-aiming-London-rugby-league-legacy-New-Zealand-clash.html,Tom Burgess aiming for London rugby league 'legacy' after New Zealand clash,Negative,objective,objective: Tom Burgess aiming for London rugby league 'legacy' after New Zealand clash
2,28/07/2016,https://www.dailymail.co.uk/news/article-3712574/Culture-bigwigs-slam-1-3billion-Olympic-legacy-building-project-bunch-giant-warehouses-bleak-area-East-London.html,Olympic legacy building project in London slammed by architects over 'boring' buildings,Negative,subjective,subjective: Olympic legacy building project in London slammed by architects over 'boring' buildings
1,5/8/2016,https://www.dailymail.co.uk/property/article-3725436/The-property-legacy-London-2012-Four-years-s-like-live-Olympic-village.html,"The property legacy of London 2012: Four years on, what’s it like to live in the Olympic village?",Neutral,objective,"objective: The property legacy of London 2012: Four years on, what’s it like to live in the Olympic village?"
33,22/11/2017,https://www.dailymail.co.uk/sport/football/article-5109437/London-Assembly-demands-West-Ham-s-landlord-s-accounts.html,London Assembly demands West Ham's landlord's accounts,Neutral,objective,objective: London Assembly demands West Ham's landlord's accounts
37,1/12/2017,https://www.dailymail.co.uk/sport/football/article-5136191/Sadiq-Khan-control-West-Hams-London-Stadium.html,Sadiq Khan to take control of West Ham's London Stadium,Neutral,objective,objective: Sadiq Khan to take control of West Ham's London Stadium
109,22/03/2018,https://www.dailymail.co.uk/sport/article-5533675/No-Hitler-analogies-Boris-Johnson-flew-flag-Beijing.html,No Hitler analogies when Boris Johnson flew the flag for Beijing,Negative,subjective,subjective: No Hitler analogies when Boris Johnson flew the flag for Beijing
18,4/8/2019,https://www.dailymail.co.uk/news/article-7319723/Thousands-cyclists-ride-London-Surrey-again.html,"More than 30,000 cyclists ride from London to Surrey and back again",Neutral,objective,"objective: More than 30,000 cyclists ride from London to Surrey and back again"
